기준연월,기타공항,기타항구,김포공항,김해공항,부산항구,인천공항,인천항구,제주공항,제주항구
2023-08-31,11546,22433,90226,74986,39553,776821,2772,69977,819
2023-09-30,12671,24009,83024,78280,37047,782249,7673,65651,7430
2023-10-31,12173,34325,84280,89869,59810,863570,10647,59474,15751
2023-11-30,11223,38098,85370,83678,41177,781997,9739,51110,12598
2023-12-31,10910,32403,76361,69762,11720,753080,9466,56466,16457
2024-01-31,9899,56953,63200,56129,10525,593027,13122,66680,11346
2024-02-29,13666,50964,69827,69241,15112,720626,8781,75205,6822
2024-03-31,17478,94118,92976,100683,47957,991406,38704,88350,20076
2024-04-30,14615,112211,88530,93696,56784,959406,23932,86526,27097
2024-05-31,14322,109077,86498,98605,43642,923546,22453,96594,23726
2024-06-30,17435,92428,89714,101252,43684,935441,8235,101509,27576
2024-07-31,19169,72165,92331,102511,24425,931295,13118,121334,32151
